alt,a1_url,a1_text,a2_url,a2_text,filepath,description,category,embedding
10.30-PM,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2021/01/10.30-PM.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2021/01/10.30-AM.png,Download (Outside the Box),./images/10.30-PM.png,"The image shows a clock inside a black border. The clock face is white with black numbers from 1 to 12. The hour hand points to 10, and the minute hand points to 6. The clock has a yellow border. Above the clock, in bold black letters, is the text ""10.30 PM"". The clock reads '10.30-PM'.",time,"[ 0.03266699 -0.00570553 -0.02970944 ... -0.01230564 -0.02296394
 -0.0220221 ]"
10 minutes,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/10-minutes.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/10-minutes-1.png,Download (Outside the Box),./images/10-minutes.png,,,
10 pence,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/10-pence.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/04/10-pence.png,Download (Outside the Box),./images/10-pence.png,"This image features a 10 pence coin. The coin has a silver color and a design featuring a stylized lion with a crown on its head. The words ""TEN PENCE"" are written around the upper edge of the coin, and the number ""10"" is displayed at the bottom. Above the coin the words ""10 pence"" are written in a bold black font. The image is contained within a black square border.",Coin,"[ 0.00990899  0.00024285 -0.03006995 ... -0.00906324 -0.0146215
 -0.02227423]"
10 pounds,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/10-pounds.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/04/10-pounds.png,Download (Outside the Box),./images/10-pounds.png,"A cartoon-style illustration of a 10-pound banknote, featuring the inscription '10 pounds' in large, bold text above the note. The banknote itself includes design elements of the Bank of England, with a stylized portrait of the Queen on the right and various security features such as a hologram. The design is simplified and not photorealistic, making it easier to read.",Currency,"[ 0.04688101  0.00933875 -0.04592171 ...  0.0240781  -0.02380188
 -0.02613969]"
11.00 am,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/11.00-AM.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/11.00-oclock.png,Download (Outside the Box),./images/11.00-AM.png,,,
11.00 o’clock,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/04/11.00-oclock.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/04/11.00-o’clock.png,Download (Outside the Box),./images/11.00-oclock.png,"The image is a clock face that shows the time as eleven o'clock. The clock has a white face with black numbers from 1 to 12 marking the hours. The hands are black, with the shorter hour hand pointing at the '11' and the longer minute hand pointing at the '12'. Surrounding the clock face is a thick yellow border. Above the clock, in large, bold black letters, is the text '11.00 o’clock'. The whole image is set against a white background and enclosed within a black border.",Time and Clocks,"[ 0.03386766 -0.01906557 -0.02457154 ... -0.01092209 -0.01551852
 -0.01669557]"
12.00 oclock,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/07/12.00-oclock.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/07/12.00-oclock-1.png,Download (Outside the Box),./images/12.00-oclock.png,"The image is a simple, stylized illustration of a clock face with the time set to 12:00. The clock has a white face, black numerals from 1 to 12, and a thick yellow border. The hour and minute hands are both pointing directly upwards to the '12', indicating noon or midnight. Above the clock, the text ""12.00 o'clock"" is written in large, bold black letters. The entire image is set against a white background and enclosed within a thick black border, creating a clear and easy-to-read representation of telling time.",Educational Illustration,"[ 0.04037821 -0.00378823 -0.02027989 ... -0.00491676 -0.01782596
 -0.02147745]"
12 months,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/12-months.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/04/12-months.png,Download (Outside the Box),./images/12-months.png,,,
14 days,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2021/02/14-days.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2021/02/14-days-1.png,Download (Outside the Box),./images/14-days.png,,,
15.30 o clock,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/15.30-oclock.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/04/15.30-o-clock.png,Download (Outside the Box),./images/15.30-oclock.png,"A cartoon image shows a clock with a yellow rim and black numbers. The clock reads half past three, with the big hand pointing to the 6 and the small hand pointing to the 3. Above the clock, bold black text reads ""15.30 o'clock"". The image has a black border, and the background is white.",educational material,"[ 0.02767721  0.03023471 -0.01502533 ... -0.01623172 -0.02837247
 -0.02842962]"
15 minutes,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/15-minutes.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/15-minutes-1.png,Download (Outside the Box),./images/15-minutes.png,,,
wash hair,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2021/08/wash-hair.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2021/08/wash-hair-1.png,Download (Outside the Box),./images/wash-hair.png,"A simple cartoon drawing of a person washing their hair under a shower. The person has brown skin, black hair covered in blue bubbles, and is smiling slightly. A gray showerhead is positioned above them, with blue dashed lines representing water falling onto their head. Above the entire image, in large black letters, are the words ""wash hair"". The image is set against a white background with a thick black border, indicating a clear and concise representation of the action.",Hygiene,"[ 0.0054135   0.00710132 -0.0309209  ... -0.02022787 -0.03048247
 -0.02458785]"
3 years,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2021/09/3-years.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2021/09/3-years-1.png,Download (Outside the Box),./images/3-years.png,"A cartoon picture. It says '3 years' at the top. Below that are three cartoon calendars. The calendar on the left has the months January, April, July and October on view. The calendar in the middle has January, February, April, May, July, August, October, November on view. The calendar on the right has all months from January to December on view.",Calendar,"[ 0.05068472 -0.00026011 -0.04469337 ... -0.01120209 -0.03016126
 -0.02275767]"
Isolation ward,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2023/12/Isolation-ward.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2023/12/infection-control-isolation-ward.png,Download (Outside the Box),./images/Isolation-ward.png,"An illustration depicting a patient in an isolation ward. The patient, who is Black, lies in a hospital bed covered with a blue blanket and wearing a red shirt. A small bedside table holds a white mug with a blue interior. The room has light yellow walls with a sign above the bed that reads ""SOURCE ISOLATION"" in a blue rectangle. The illustration is drawn with bold outlines and bright colors.",Medical Illustration,"[ 0.03843872  0.00285937 -0.04515965 ... -0.0313554  -0.01581032
 -0.01299041]"
2.30pm,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/07/2.30pm.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/04/2.30pm-1.png,Download (Outside the Box),./images/2.30pm.png,"A square image with a black border. At the top, in bold black letters, it reads '2.30pm'. Below this, there is an analog clock with a white face and black numbers. The clock's outline is thick and yellow. The hour hand points to 2 and the minute hand points to 6, indicating half past two.",Time and Clocks,"[ 0.02856955  0.00940408 -0.04287984 ... -0.01269811 -0.03583286
 -0.01833925]"
2 doctors,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/2-doctors.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/04/2-doctors.png,Download (Outside the Box),./images/2-doctors.png,"The image shows two cartoon doctors standing side by side. Above them, in bold black text, is the phrase ""2 doctors"". The doctors are illustrated in a simple, cartoon style with thick black outlines. Each doctor wears a white lab coat with two square pockets on the front. They both have stethoscopes around their necks. The doctor on the left has dark hair, brown skin, wears a green shirt and blue pants. The doctor on the right has brown hair, darker brown skin, wears a blue shirt and brown pants. Both have black shoes.",illustration,"[ 0.01798608 -0.00312249 -0.05346912 ... -0.01663577 -0.03027941
 -0.03259509]"
2 minutes,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/2-minutes-1.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/04/2-minutes.png,Download (Outside the Box),./images/2-minutes-1.png,,,
2 months,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/2-months.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/04/2-months.png,Download (Outside the Box),./images/2-months.png,"An illustration of a calendar with the words ""2 months"" at the top. The calendar shows the months of the year in a grid format, with ""May"" and ""June"" circled in green.",illustration,"[ 0.04089211  0.00857462 -0.05143964 ... -0.0132141  -0.02506916
 -0.04058303]"
2 pound V2,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/05/2-pound.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/05/2-pound-V2.png,Download (Outside the Box),./images/2-pound.png,,,
2 woodland square,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/2-woodland-square-V2.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/2-woodland-square-V2-1.png,Download (Outside the Box),./images/2-woodland-square-V2.png,"The image shows a cartoon-style illustration of a house. Above the house, in large black text, are the words ""2 woodland square."" The house is a single-story brick structure with a gray, slanted roof on one side and a blue, flat roof on the other. There are two blue-colored windows on the side with the gray roof and one blue window on the side with the blue roof. A doorway with an orange door is located between the two sections. To the right of the door is a box with the number '2' in it. Green bushes are drawn in front of the house, partially obscuring the lower portion of the structure. The image is set against a white background with a thick black border. The overall style is simple and graphic.",Cartoon Illustration,"[ 0.02022735 -0.00041022 -0.02669527 ... -0.01623024 -0.03713569
 -0.03181102]"
20 minutes,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/20-minutes.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/04/20-minutes.png,Download (Outside the Box),./images/20-minutes.png,"A square image with a black border shows a yellow clock face with black numbers and hands. The numbers 1 through 12 are marked around the face of the clock. The hour hand points at the 9, and the minute hand points at the 12. Above the clock is the text ""20 minutes"" in bold, black letters. A dashed green arrow begins at the 12 and curves clockwise, ending near the 4.",educational,"[ 0.02399741  0.00498818 -0.05062552 ... -0.00513754 -0.02918731
 -0.01460704]"
20 pence,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/20-pence.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/04/20-pence.png,Download (Outside the Box),./images/20-pence.png,"A square image with a white background and a thick black border features the words ""20 pence"" in large, bold black font at the top. Below the text is an image of a British 20 pence coin. The coin is a heptagon shape and is colored grey with black outlines. The design includes a Tudor crown at the top, a flower in the center, and the number 20 at the bottom. The words ""TWENTY PENCE"" are written along the coin's edge in black lettering.",Money and Finance,"[ 0.0089887  -0.00764778 -0.05675375 ... -0.01343165 -0.03795664
 -0.01898189]"
20 pounds,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/20-pounds.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/20-pounds-1.png,Download (Outside the Box),./images/20-pounds.png,"The image depicts a stylized representation of a 20-pound note against a white background. The phrase ""20 pounds"" is boldly displayed in black at the top of the image. The note itself is predominantly light purple and features a lined drawing of Queen Elizabeth II on the right. Additional visual elements include grey circles on the left, along with the words ""Bank of England"" and the number ""£20"" printed on the bill. The entire image is framed within a black border.",money,"[ 0.02306627 -0.00523667 -0.04948673 ...  0.01028853 -0.00929555
 -0.03228988]"
3 days,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2021/10/3-days.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2021/10/3-daysl.png,Download (Outside the Box),./images/3-days.png,"A simple illustration shows a calendar page with the word 'week' at the top, with days labeled 'sat', 'sun', 'mon', 'tues', 'wed', 'thur', and 'fri'. The calendar grid shows that the checkmarks are marked for 'sun', 'mon', and 'tues'. Above the calendar, bold black text reads '3 days', indicating the duration represented by the three marked days on the calendar.",Illustration,"[ 0.0418694   0.00692713 -0.04163158 ... -0.03526239 -0.033288
 -0.04958181]"
3 hours,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2021/01/3-hours.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2021/01/3-hours-1.png,Download (Outside the Box),./images/3-hours.png,,,
3 minutes,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/3-minutes.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/04/3-minutes.png,Download (Outside the Box),./images/3-minutes.png,,,
3 o clock,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2021/07/3-o-clock.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2021/07/3-o-clock1.png,Download (Outside the Box),./images/3-o-clock.png,"A picture of a clock. The clock face is white with black numbers from 1 to 12. The clock hands are black, with the short hand pointing to 3 and the long hand pointing to 12. The clock has a yellow border. Above the clock, there is the text ""3 o'clock"" written in a bold, black font.",Education,"[ 0.04807364  0.01116645 -0.03467808 ... -0.00357626 -0.02962902
 -0.01315113]"
3 small meals,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/3-small-meals.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/04/3-small-meals.png,Download (Outside the Box),./images/3-small-meals.png,"This image shows the text ""3 small meals"" in large black letters at the top. Below that, there's a picture of a plate with a piece of salmon, some potatoes, and broccoli, with a large red X drawn over it. Below that, there are three smaller plates: one with salmon, potatoes, and broccoli, another with an egg and some fries, and a third with a sandwich. The image is framed by a thick black border.",food,"[ 0.03408095 -0.00821783 -0.01317896 ... -0.01288083 -0.02902183
 -0.03224869]"
3 weeks,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2021/01/3-weeks.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2021/01/3-weeks-1.png,Download (Outside the Box),./images/3-weeks.png,"A calendar that says ""3 weeks"" is shown with check marks for each day of the week for 3 weeks.",Calendar,"[ 0.04458262 -0.00497771 -0.0512404  ... -0.02446049 -0.03403762
 -0.0483475 ]"
3 woodland square,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/3-woodland-square.png,Download (In the Box),,,./images/3-woodland-square.png,"The image shows a white square with a black border. Inside this square is another black square that frames a white space. In the top half of the white square, large black text reads ""3 woodland square"" over two lines. Inside the inner square are four stylized green trees, one in each corner. A large black number ""3"" is centered in the middle of the square. The overall design has a simple, cartoonish style.",Picture Card,"[ 0.02518244 -0.00866159 -0.05674697 ... -0.01432017 -0.00604782
 -0.01439803]"
3 woodland square V2,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/07/3-woodland-square-V2.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/04/3-woodland-square-V2.png,Download (Outside the Box),./images/3-woodland-square-V2.png,"A cartoon-style image of a house with the text ""3 woodland square"" above it. The house is made of brick, with a grey tiled roof and blue windows. There's a small bush in front of the house, and the number ""3"" is displayed on the window, next to the orange door. The image has a white background. The image is surrounded by a black frame.",Illustration,"[ 0.02637262  0.01492698 -0.03430095 ... -0.02147497 -0.04351524
 -0.02897727]"
30 minutes,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/30-minutes.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/30-minutes-1.png,Download (Outside the Box),./images/30-minutes.png,"A cartoon clock with a yellow border. The clock face is white with black numbers from 1 to 12. The hour hand points to the number 1, and the minute hand points to the number 12. Half of the clock face is colored gray, and there is a dashed green arrow indicating 30 minutes. Above the clock, the words ""30 minutes"" are written in bold black letters. The image is contained within a black border and represents a time duration of 30 minutes.",Time & Schedules,"[ 0.03176951  0.00338136 -0.02486377 ... -0.01751928 -0.02893584
 -0.01263856]"
35 days,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2021/10/35-days.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2021/10/35-daysm.png,Download (Outside the Box),./images/35-days.png,"An illustration with a white background, black border, and bold black text at the top that reads '35 days'. Below this are two calendar pages with a light brown border and spiral binding at the top. The front calendar page is complete with green check marks in all squares representing the days of the week. The second calendar page behind it is less filled, with only a few check marks indicating some days are complete. The days of the week are abbreviated as 'sat', 'sun', 'mon', 'tues', 'wed', 'thur', and 'fri'. The calendar pages are angled slightly towards each other.",Visual Aid,"[ 0.03196891  0.00647618 -0.0489378  ... -0.0290147  -0.04144277
 -0.03333469]"
37 hour week,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/37-hour-week.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/37-hour-week-1.png,Download (Outside the Box),./images/37-hour-week.png,"The image shows the words '37 hours a week' in bold, black letters. Below this are images of a calendar and a clock. The calendar shows a week's schedule, with Monday to Friday marked green and checked off. The clock reads 4:45. The image is promoting a 37-hour work week.",Work/Employment,"[ 0.02989113 -0.00984623 -0.02298185 ... -0.03920383 -0.0212842
 -0.03911633]"
4.00pm,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2021/04/4.00pm.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2021/04/4.00pm-1.png,Download (Outside the Box),./images/4.00pm.png,"A visual clock depicts the time '4:00 PM' with a straightforward design. The clock face is white with a black outline and a yellow border, featuring black numerals 1 through 12. The hour hand points directly to '4', while the minute hand is aligned with '12'. Above the clock, the time is explicitly written as '4.00pm' in large, bold black letters, ensuring clear readability. The image is framed by a thick black border.",Time and Schedules,"[ 0.03256959  0.00866512  0.00043863 ... -0.02603085 -0.04008686
 -0.00886466]"
4.30,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2021/01/4.30.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2021/01/4.30.jpg,Download (Outside the Box),./images/4.30.png,A clock face shows the time as 4:30. The number '4.30' is written above the clock.,time,"[ 0.02010099  0.00669063 -0.02710019 ...  0.00385052 -0.01652961
 -0.02363182]"
4 hours,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/4-hours.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/04/4-hours.png,Download (Outside the Box),./images/4-hours.png,,,
4 weeks,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/4-weeks.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/04/4-weeks.png,Download (Outside the Box),./images/4-weeks.png,"The image shows a calendar with the title ""4 weeks"" at the top. Below the title is a typical calendar grid, listing the days of the week as 'sat', 'sun', 'mon', 'tues', 'wed', 'thur', and 'fri'. Most of the calendar days have a green checkmark inside their box, indicating that something was completed on those days. However, a few days at the end of the fourth week are left unchecked.",object,"[ 0.03866027  0.00065013 -0.03271525 ... -0.03092512 -0.03060305
 -0.04622155]"
5.00 o clock,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/5.00-o-clock.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/04/5.00-o-clock.png,Download (Outside the Box),./images/5.00-o-clock.png,"The image shows a clock with a yellow rim on a white background, inside a black frame. The clock face displays the time as 5:00, with the hour hand pointing at the 5 and the minute hand at the 12. Above the clock, in bold, black text, it reads ""5.00 o'clock"".",Time and Clocks,"[ 0.03457075  0.00526339 -0.02542527 ... -0.0215045  -0.040631
 -0.03050677]"
5 a day,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/5-a-day.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/04/5-a-day.png,Download (Outside the Box),./images/5-a-day.png,"A colorful illustration about the ""5 a day"" recommendation for fruits and vegetables. The image features the text ""5 a day"" at the top, followed by a black arrow in a circular shape. Inside the circle are images of fruits and vegetables, including peppers (red, yellow, and green), peas, an apple, a banana, and cauliflower. The image is bordered by a black line against a white background.",Health and Nutrition,"[ 0.02352506 -0.00151743 -0.03176025 ... -0.00983294 -0.03310494
 -0.01074969]"
5 minutes,https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/01/5-minutes.png,Download (In the Box),https://www.learningdisabilityservice-leeds.nhs.uk/wp-content/uploads/2019/04/5-minutes.png,Download (Outside the Box),./images/5-minutes.png,"A square image with a white background and a black border features a clock face. The clock has black numbers and a yellow border. The hands are pointing to 12 and 1. Above the clock are the words ""5 minutes"" in large, bold black letters. A grey shaded area extends from the 12 to the 1 on the clock face, with the words ""5 minutes"" written in green above it, accompanied by green arrows indicating the direction of the time.",Time & Scheduling,"[ 0.03457226 -0.00386725 -0.0399293  ... -0.00280135 -0.01599354
 -0.02377465]"
